auction_action,auction_state,current_profit_r,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_type,userid
EVENT_INVALIDATE,DIRECTIONAL,1.9244854862856904,5061.0,5093.216403003205,ALIGNED,2026-07-31T11:06:00,2026-07-31T11:06:00,FILLED,2026-07-31T11:03:00,TORNTPHARM,5061.0,5092.0,125,VIRTUAL,2026-07-31T11:36:00,2026-07-31T11:36:00,3875.0,SIGNAL_LIFECYCLE_EXIT,exit_on_auction_signal_downstream_contract,FILLED,REFERENCE,FUT,31.0,3875.0,5092.0,2026-07-31T11:36:00,EXIT_AUCTION_SIGNAL_DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,FORCE_EXIT,EXIT,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,5092.0,1.9244854862856904,5056.7,5061.0,125,True,099dd7de-7081-52f9-9bd2-655c56b6256c,FORCE_EXIT,INVALIDATED,TRADE_GENERATOR,TORNTPHARM26AUGFUT,32,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
,,2.2845505127520456,160.95,177.05820150160284,,2026-07-31T11:06:00,2026-07-31T11:06:00,FILLED,2026-07-31T11:03:00,TORNTPHARM,160.95,179.35,125,VIRTUAL,2026-07-31T11:36:00,2026-07-31T11:36:00,2300.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,18.4,2300.0,179.35,2026-07-31T11:36:00,FOLLOW_GROUP_REFERENCE_FUT_32:GROUP_MFE_RATCHET_MFE_1.92R_STOP_+0.00R,,,,179.35,2.2845505127520456,157.1,160.95,125,False,099dd7de-7081-52f9-9bd2-655c56b6256c,,,TRADE_GENERATOR,TORNTPHARM26AUG5000CE,33,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
,,6.9838794758810785,5511.147936021548,5526.211197116375,,2026-07-31T11:21:00,2026-07-31T11:21:00,FILLED,2026-07-31T11:06:00,PERSISTENT,5428.3,5533.5,1,VIRTUAL,2026-07-31T12:12:00,2026-07-31T12:12:00,105.2,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,105.2,105.2,5533.5,2026-07-31T12:12:00,FOLLOW_GROUP_REFERENCE_FUT_35:TARGET_HIT_EXPANDED_2_STEP_TO_6.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,5533.5,6.9838794758810785,5423.5,5421.5,1,False,cad8805e-c102-57a4-96c7-d70c9c07f5cc,,,TRADE_GENERATOR,PERSISTENT,34,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
NO_CREATION_EVENT,REVERSAL_WATCH,6.638668703309009,5539.947936021548,5555.011197116375,ALIGNED,2026-07-31T11:21:00,2026-07-31T11:21:00,FILLED,2026-07-31T11:06:00,PERSISTENT,5457.1,5557.1,125,VIRTUAL,2026-07-31T12:12:00,2026-07-31T12:12:00,12500.0,ADAPTIVE_TARGET,exit_on_current_adaptive_target,FILLED,REFERENCE,FUT,100.0,12500.0,5557.1,2026-07-31T12:12:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION,HOLD_POSITION,CAUTION,AUTHORITATIVE_REVERSAL_WATCH,5557.1,6.638668703309009,5443.0,5457.1,125,False,cad8805e-c102-57a4-96c7-d70c9c07f5cc,PROTECT,OPEN,TRADE_GENERATOR,PERSISTENT26AUGFUT,35,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,8.411193247092514,308.523968010774,316.0555985581876,,2026-07-31T11:21:00,2026-07-31T11:21:00,FILLED,2026-07-31T11:06:00,PERSISTENT,267.1,330.45,125,VIRTUAL,2026-07-31T12:12:00,2026-07-31T12:12:00,7918.75,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,63.35,7918.75,330.45,2026-07-31T12:12:00,FOLLOW_GROUP_REFERENCE_FUT_35:TARGET_HIT_EXPANDED_2_STEP_TO_6.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,330.45,8.411193247092514,262.0,267.1,125,False,cad8805e-c102-57a4-96c7-d70c9c07f5cc,,,TRADE_GENERATOR,PERSISTENT26AUG5400CE,36,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,-1.253893103535186,369.7644709306358,373.1140387591522,,2026-07-31T11:24:00,2026-07-31T11:24:00,FILLED,2026-07-31T11:21:00,MANAPPURAM,371.2,370.0,6,VIRTUAL,2026-07-31T11:45:00,2026-07-31T11:45:00,-7.2,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,-1.2,-7.2,370.0,2026-07-31T11:45:00,FOLLOW_GROUP_REFERENCE_FUT_38:GROUP_MAE_RATCHET_MAE_1.52R_STOP_-1.50R_POSTURE_CAUTION,,,,371.2,0.0,369.85,370.4,6,False,50c51811-b112-5f0f-9fcc-a1422ceea97c,,,TRADE_GENERATOR,MANAPPURAM,37,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
NO_CREATION_EVENT,NONE,-1.5151208334383497,371.0644709306358,374.4140387591522,UNKNOWN,2026-07-31T11:24:00,2026-07-31T11:24:00,FILLED,2026-07-31T11:21:00,MANAPPURAM,372.5,371.05,3000,VIRTUAL,2026-07-31T11:45:00,2026-07-31T11:45:00,-4350.0,WEAKENING_RISK_EXIT,exit_at_observed_price_when_new_mae_stop_is_already_breached,FILLED,REFERENCE,FUT,-1.45,-4350.0,371.05,2026-07-31T11:45:00,GROUP_MAE_RATCHET_MAE_1.52R_STOP_-1.50R_POSTURE_CAUTION;EXIT_AT_OBSERVED_PRICE_NEW_STOP_ALREADY_BREACHED,HOLD_POSITION,CAUTION,NO_CURRENT_CREATION_EVENT,372.5,0.0,371.05,372.5,3000,False,50c51811-b112-5f0f-9fcc-a1422ceea97c,TRANSITION,OPEN,TRADE_GENERATOR,MANAPPURAM26AUGFUT,38,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,0.0,20.7822354653179,22.457019379576103,,2026-07-31T11:24:00,2026-07-31T11:24:00,FILLED,2026-07-31T11:21:00,MANAPPURAM,21.5,21.5,3000,VIRTUAL,2026-07-31T11:45:00,2026-07-31T11:45:00,0.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,0.0,0.0,21.5,2026-07-31T11:45:00,FOLLOW_GROUP_REFERENCE_FUT_38:GROUP_MAE_RATCHET_MAE_1.52R_STOP_-1.50R_POSTURE_CAUTION,,,,21.5,0.0,21.5,21.5,3000,False,50c51811-b112-5f0f-9fcc-a1422ceea97c,,,TRADE_GENERATOR,MANAPPURAM26AUG360CE,39,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,-2.0732165537480713,626.204784240116,634.476954346512,,2026-07-31T11:42:00,2026-07-31T11:42:00,FILLED,2026-07-31T11:27:00,KALYANKJIL,629.75,624.85,3,VIRTUAL,2026-07-31T12:21:00,2026-07-31T12:21:00,-14.7,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,-4.9,-14.7,624.85,2026-07-31T12:21:00,FOLLOW_GROUP_REFERENCE_FUT_41:GROUP_MAE_RATCHET_MAE_1.90R_STOP_-1.50R_POSTURE_CAUTION,,,,630.35,0.2538632514793557,624.85,629.5,3,False,fe205a27-ef8f-5bf7-9192-94593d799d94,,,TRADE_GENERATOR,KALYANKJIL,40,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
NO_CREATION_EVENT,REVERSAL_WATCH,-1.607800592702586,626.254784240116,634.526954346512,ALIGNED,2026-07-31T11:42:00,2026-07-31T11:42:00,FILLED,2026-07-31T11:27:00,KALYANKJIL,629.8,626.0,1350,VIRTUAL,2026-07-31T12:21:00,2026-07-31T12:21:00,-5130.0,WEAKENING_RISK_EXIT,exit_at_observed_price_when_new_mae_stop_is_already_breached,FILLED,REFERENCE,FUT,-3.8,-5130.0,626.0,2026-07-31T12:21:00,GROUP_MAE_RATCHET_MAE_1.90R_STOP_-1.50R_POSTURE_CAUTION;EXIT_AT_OBSERVED_PRICE_NEW_STOP_ALREADY_BREACHED,HOLD_POSITION,CAUTION,AUTHORITATIVE_REVERSAL_WATCH,630.4,0.2538632514793557,625.3,629.8,1350,False,fe205a27-ef8f-5bf7-9192-94593d799d94,PROTECT,OPEN,TRADE_GENERATOR,KALYANKJIL26AUGFUT,41,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,0.0,191.227392120058,195.36347717325597,,2026-07-31T11:42:00,2026-07-31T11:42:00,FILLED,2026-07-31T11:27:00,KALYANKJIL,193.0,193.0,1350,VIRTUAL,2026-07-31T12:21:00,2026-07-31T12:21:00,0.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,0.0,0.0,193.0,2026-07-31T12:21:00,FOLLOW_GROUP_REFERENCE_FUT_41:GROUP_MAE_RATCHET_MAE_1.90R_STOP_-1.50R_POSTURE_CAUTION,,,,193.0,0.0,193.0,193.0,1350,False,fe205a27-ef8f-5bf7-9192-94593d799d94,,,TRADE_GENERATOR,KALYANKJIL26AUG440CE,42,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
