accepted_range_id,accepted_range_inside,active_episode_id,auction_state,chase_block_eligible,classification,continuation_unlocked,created_price,episode_initial_room_qualified,episode_maturity_qualified,episode_status,exhausted_side,exhaustion_active,gap_pct,large_gap,package_pnl,proposed_reversal_confirmed,qualified_episode_unresolved,range_locked,range_policy_exempt,reversal_failed,same_direction_chase,setup,side,signal_id,signal_last_pnl_pct,signal_last_pnl_value,signal_time,symbol,would_block
DYNAMIC:2026-07-27T09:42:00+05:30:2026-07-27T09:57:00+05:30,False,EXPERIMENT_V2_1:ONGC:3:2026-07-27T10:45:00:DOWN,ORDERLY_DOWNTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,241.89,True,True,WATCH,DOWN,False,-0.4176706827309205,False,-698.6,False,True,False,False,False,True,ACCEPTED_BREAKOUT,SELL,4743669f-4b2c-5415-b2d5-3e7ce92cd92e,-0.3679,-0.89,2026-07-27 11:00:00,ONGC,True
DYNAMIC:2026-07-27T09:36:00+05:30:2026-07-27T10:21:00+05:30,True,EXPERIMENT_V2_1:TCS:1:2026-07-27T09:36:00:UP,ORDERLY_DOWNTREND,True,BLOCK_RANGE_LOCKED,False,2299.0,True,True,REVERSAL_CONFIRMED,UP,False,1.3543516873889876,True,-5257.2,True,True,True,False,False,False,REVERSAL,SELL,5beb2972-ec4f-5da9-a9dd-d9a018a96e4a,-0.4828,-11.1,2026-07-27 11:03:00,TCS,True
DYNAMIC:2026-07-27T09:39:00+05:30:2026-07-27T10:09:00+05:30,False,EXPERIMENT_V2_1:AUBANK:7:2026-07-27T11:09:00:UP,ORDERLY_UPTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1045.5,True,True,WATCH,UP,True,1.431250616918358,True,9462.4,False,True,False,False,False,True,REVERSAL,BUY,546934d8-59d6-5e33-a71d-a46b9176f94a,0.8991,9.4,2026-07-27 11:15:00,AUBANK,True
DYNAMIC:2026-07-27T10:33:00+05:30:2026-07-27T10:54:00+05:30,True,,ORDERLY_DOWNTREND,False,BLOCK_RANGE_LOCKED,False,462.85,False,False,NONE,UNKNOWN,False,0.7996542035876353,False,-10494.75,False,False,True,False,False,False,ACCEPTED_BREAKOUT,SELL,6715a868-a0ce-5b33-a7ae-e10bd6b29856,-1.5232,-7.05,2026-07-27 11:15:00,DELHIVERY,True
DYNAMIC:2026-07-27T10:42:00+05:30:2026-07-27T11:03:00+05:30,False,,TREND_FAILURE,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,2336.1,False,False,NONE,UNKNOWN,False,1.9938650306748467,True,3927.95,False,False,False,False,False,False,ACCEPTED_BREAKOUT,BUY,1db2792a-ee97-5ad2-a867-02c69bda260b,-0.3895,-9.1,2026-07-27 11:15:00,MPHASIS,False
DYNAMIC:2026-07-27T09:36:00+05:30:2026-07-27T10:09:00+05:30,False,EXPERIMENT_V2_1:BPCL:1:2026-07-27T09:45:00:DOWN,ORDERLY_UPTREND,True,UNCHANGED_BY_EXPERIMENT_POLICY,False,316.15,True,True,REVERSAL_CONFIRMED,DOWN,True,1.4516129032258065,True,2276.85,True,True,False,False,False,False,REVERSAL,BUY,a45a8f7f-e5e6-5da3-9ba5-19dca2de1500,0.2689,0.85,2026-07-27 11:21:00,BPCL,False
DYNAMIC:2026-07-27T09:27:00+05:30:2026-07-27T10:09:00+05:30,True,EXPERIMENT_V2_1:PERSISTENT:1:2026-07-27T09:33:00:UP,ORDERLY_UPTREND,True,BLOCK_RANGE_LOCKED,False,5292.8,True,True,REVERSAL_CONFIRMED,UP,True,1.0529355149181872,True,-3454.9,True,True,True,False,False,True,REVERSAL,BUY,f58bbe93-72f6-56e9-84aa-d860c03197d8,-0.6839,-36.2,2026-07-27 11:24:00,PERSISTENT,True
DYNAMIC:2026-07-27T09:33:00+05:30:2026-07-27T10:09:00+05:30,False,EXPERIMENT_V2_1:PNBHOUSING:8:2026-07-27T10:27:00:DOWN,ORDERLY_UPTREND,True,UNCHANGED_BY_EXPERIMENT_POLICY,False,1074.5,True,True,REVERSAL_CONFIRMED,DOWN,True,0.8384361752237486,False,3258.4,True,True,False,False,False,False,REVERSAL,BUY,f4e9f162-6ce9-50c4-b006-6b2dab6a00ce,-0.4188,-4.5,2026-07-27 11:36:00,PNBHOUSING,False
DYNAMIC:2026-07-27T10:33:00+05:30:2026-07-27T11:18:00+05:30,False,EXPERIMENT_V2_1:ONGC:3:2026-07-27T10:45:00:DOWN,ORDERLY_UPTREND,True,UNCHANGED_BY_EXPERIMENT_POLICY,False,242.66,True,True,REVERSAL_CONFIRMED,DOWN,True,-0.4176706827309205,False,-1601.8,True,True,False,False,False,False,REVERSAL,BUY,381ebda9-6432-51fc-b370-714e259ef960,-1.7597,-4.27,2026-07-27 11:39:00,ONGC,False
DYNAMIC:2026-07-27T10:45:00+05:30:2026-07-27T11:09:00+05:30,True,,ORDERLY_UPTREND,False,BLOCK_RANGE_LOCKED,False,2304.9,False,False,NONE,UP,True,1.3543516873889876,True,-2143.2,False,False,True,False,False,False,REVERSAL,BUY,8d360e06-178b-5fe6-aed0-bb9b7420c596,-0.3905,-9.0,2026-07-27 11:51:00,TCS,True
