advisor_action,advisor_reason_codes,approved,blockers,candidate_id,index,manager_reason_codes,outcome,reason_codes,setup_family,side,snapshot_time,source_episode_id,source_event_id,source_event_type,structural_result,symbol
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:4a3872010c190995b2d63ff8,625,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,BUY,2026-07-31T11:27:00+05:30,BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100,BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100:BALANCE_ESCAPE_STARTED:112700,BALANCE_ESCAPE_STARTED,PERMIT,KALYANKJIL
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,628,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T11:27:00+05:30,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100:BALANCE_ESCAPE_STARTED:112700,BALANCE_ESCAPE_STARTED,PERMIT,POWERINDIA
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,639,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T11:30:00+05:30,BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100,BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100:BALANCE_ESCAPE_ACCEPTED:113000,BALANCE_ESCAPE_ACCEPTED,PERMIT,KALYANKJIL
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:dc1ab160fa1ee75a10189da6,642,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE"", ""FAILED_ESCAPE_TO_OPPOSITE_RANGE_EDGE""]",FAILED_BREAKOUT,BUY,2026-07-31T11:30:00+05:30,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100:BALANCE_ESCAPE_FAILED:113000,BALANCE_ESCAPE_FAILED,PERMIT,POWERINDIA
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,672,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T11:36:00+05:30,DIR:TORNTPHARM:2026-07-31:002:UP:105700,DIR:TORNTPHARM:2026-07-31:002:UP:105700:DIRECTIONAL_TREND_RESTORED:113600,DIRECTIONAL_TREND_RESTORED,PERMIT,TORNTPHARM
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,716,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T11:48:00+05:30,DIR:CHOLAFIN:2026-07-31:003:UP:104500,DIR:CHOLAFIN:2026-07-31:003:UP:104500:DIRECTIONAL_TREND_RESTORED:114800,DIRECTIONAL_TREND_RESTORED,PERMIT,CHOLAFIN
BLOCK,"[""SAME_DIRECTION_EXHAUSTION""]",True,[],CAND:ad2f5f54a1a53f743b5f7785,722,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,BUY,2026-07-31T11:48:00+05:30,BAL:INDUSTOWER:2026-07-31:001:NEUTRAL:110900,BAL:INDUSTOWER:2026-07-31:001:NEUTRAL:110900:BALANCE_ESCAPE_STARTED:114800,BALANCE_ESCAPE_STARTED,PERMIT,INDUSTOWER
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,725,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T11:48:00+05:30,DIR:PERSISTENT:2026-07-31:003:UP:112100,DIR:PERSISTENT:2026-07-31:003:UP:112100:DIRECTIONAL_TREND_RESTORED:114800,DIRECTIONAL_TREND_RESTORED,PERMIT,PERSISTENT
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,728,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T11:48:00+05:30,DIR:TORNTPHARM:2026-07-31:002:UP:105700,DIR:TORNTPHARM:2026-07-31:002:UP:105700:DIRECTIONAL_TREND_RESTORED:114800,DIRECTIONAL_TREND_RESTORED,PERMIT,TORNTPHARM
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:296c26607039b07e87c6f497,750,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE"", ""FAILED_ESCAPE_TO_OPPOSITE_RANGE_EDGE""]",FAILED_BREAKOUT,SELL,2026-07-31T11:54:00+05:30,BAL:INDUSTOWER:2026-07-31:001:NEUTRAL:110900,BAL:INDUSTOWER:2026-07-31:001:NEUTRAL:110900:BALANCE_ESCAPE_FAILED:115400,BALANCE_ESCAPE_FAILED,PERMIT,INDUSTOWER
